#
# File 's3x3x3_23.Fawzi_b.bini.txt'
#
# Solution for the 3x3x3_23 matrix multiplication problem in Bini matrix format
#
# Created: 10-Dec-2022 12:40:10
#
Bini 3 3 3 23

product Gamma                        Alpha                        Beta
  1 ;   0 -1 -1  0  0  0  0  0  0 ;  1  0  0  1  0  0  0  0  0 ;  0 -1  0  0 -1  0  0 -1  0
  2 ;   0  1  1  0 -1  0  0  0  0 ;  1 -1  0  1  0  0  0  0  0 ;  0 -1  1  0 -1  0  0 -1  0
  3 ;   0  0  0  0  1  0  0  0  0 ;  1  0 -1  1  0 -1  0  0  0 ;  0  0  0  0  0  0  0 -1  0
  4 ;   0 -1  0  0  1  0  0  1  0 ;  0 -1  1  0  0  0  0  0  0 ;  0  0  0  0  0  0  0 -1  0
  5 ;   0  0 -1  0  0  0  0 -1  0 ;  0 -1  1  0  0  0  0  0  1 ;  0 -1  1  0 -1  1  0 -1  0
  6 ;   0  0  0  0 -1  0  0  0  0 ;  1 -1  0  1 -1  0  0  0  0 ;  0  0  0  0  1  0  0  0  0
  7 ;  -1  0  0  0  0  0  0  1  0 ;  0 -1  1  0  0  0 -1  0  1 ;  0 -1  1  1  0  0  0  0  0
  8 ;   1 -1  0  0  1  0  0  0  0 ;  1 -1  0  0  0  0  0  0  0 ;  0 -1  1  0  0  0  0  0  0
  9 ;   1  0  0  0  0  0  0  0  0 ;  1  0  0  0  0  0  1  0  0 ;  1  1 -1  0  0  0  0  0  0
 10 ;   0  0 -1  0  0  0  0  0  0 ;  0  0 -1  0  0  0  0  0 -1 ;  0 -1  1  0 -1  1  0 -1  1
 11 ;   0  0  0  0  0  0  0 -1  0 ;  0 -1  1  0  0  0  0 -1  1 ;  0  0  0  1  1 -1  0  0  0
 12 ;  -1  0  0  0  0  0  0  0  0 ;  0  0 -1  0  0  0  0  0 -1 ;  0 -1  1  1  0  0  1  0  0
 13 ;  -1  0  0  0  0  0  1 -1 -1 ;  0  0  0  0  0  0  1  0  0 ;  1  0  0  1  0  0 -1  0  0
 14 ;   0  0  0 -1  0  0  0  1  1 ;  0  0  0  0 -1  0  1 -1  0 ;  1  0  1  1  0  0 -1  0  0
 15 ;   0  0  0  1  0  0  0  0  0 ;  0  0  0  1 -1  0  1 -1  0 ;  1  0  1  0  0  0 -1  0  0
 16 ;   0  0 -1  0  0  0  0  0  1 ;  0  0  0  0  0  0  0  0  1 ;  0  0  0  0  0  0  0  0  1
 17 ;   0  0  0  1  0  0  0  0  0 ;  0  0  0  1  0  1  0  0  0 ;  0  0  0  0  0  0  1  0  0
 18 ;   0  0  0  0  0  1  0 -1 -1 ;  0  0  0  0  1  0  0  0  0 ;  0  0  0  0  0  1  0  0  0
 19 ;  -1  0  0  0  0  0  1  0  0 ;  0  0  0  0  0  0  1  0  1 ;  0  0  0  0  0  0  1  0  0
 20 ;   0  1  1  1 -1 -1  0  0  0 ;  0  0  0  1  0  0  0  0  0 ;  0  0 -1  0  0  0  0  0  0
 21 ;   0  0  0  0  0  0  0 -1 -1 ;  0  0  0  0 -1  0  0 -1  0 ;  1  0  1  1  0  1 -1  0  0
 22 ;   0  0  0  0  0  1  0  0  0 ;  0  0  0  0  0  1  0  0  0 ;  0  0  0  0  0  0  0  0  1
 23 ;   0  0  0  1  0  0 -1  1  0 ;  0  0  0  0  0  0  1 -1  0 ;  0  0  0  1  0  0  0  0  0

#
